a_AssetID,Phase,i_Identifier,a_Title_Series,a_Title_Episode,a_Date,a_DateType,a_Description,i_Transfer Date,Transfer_Deck,i_TransferNotes,i_FormatPhysical,i_FormatMediaType,i_FormatGeneration,i_ChannelConfiguation,i_Speed,i_Duration,i_Location,i_Box,a_DigitalStorageLocation,a_DigitalStorageLocation copy,Size of AIP (in gb),QC & Caption Notes,a_Description_Type,QC Pass Date,i_Stock,i_Brand,i_CreatorID,i_Date,i_DateType,a_AssetType,i_ConditionNotes,a_Contributers,ia upload,youtube,not in filemaker,cannot be digitized,Rights,CaptionFile,Base,Institution,Collections,Collections 2,formula,Digitized,PsC - Original Tape ID,PsC - Original Label (if different),PsC - Original Date,PsC - Additional Notes on Metadata,On Hold Notes,Transfer Technician,a_Title_Spanish,a_Episode_Number,PcS - CUNY-TV Asset ID on Cassette,Extent
BCC00008,Completed for Project,BCC00008,The Hall of Fame for Great Americans,An American Dream with James Earl Jones,1998-07-31,,,2022-03-16,VHS SVO-5800 (TBC 1),Stereo. Bars and tone set to program.,VHS,,,Stereo,,1:46,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,1.3,,,5/31/2022,T-45,Maxwell,,1998-07-30,,,,,,,,,,,,Hall of Fame for Great Americans,,,recixbuRgWRpBkv56,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00009,Completed for Project,BCC00009,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,"3.5"" Floppy Disk",,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,,Staples (IBM Formatted) ,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,recN5HeIBZXT82jNI,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00010,Completed for Project,BCC00010,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,"3.5"" Floppy Disk",,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,,Staples (IBM Formatted) ,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,reckxixDrkMKV8jyG,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00011,Completed for Project,BCC00011,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,"3.5"" Floppy Disk",,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,,Staples (IBM Formatted) ,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,reclGlcNPGMb3CiMU,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00012,Completed for Project,BCC00012,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,"3.5"" Floppy Disk",,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,4-245A1D,iomega zip 1994,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,recaaoCCZVYFOZF7b,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00013,Completed for Project,BCC00013,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,"3.5"" Floppy Disk",,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,,iomega zip 1994,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,recFXbNAIfAJACiHM,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00014,Completed for Project,BCC00014,The Hall of Fame for Great Americans,[untitled],,,,,,Not transferred. This format is not supported at CUNY-TV. ,Zip Disk/Orb,,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,70L10,Castlewood,,,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,recaRRMbcFyOLGOd2,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00015,Completed for Project,BCC00015,The Hall of Fame for Great Americans,G.W. Carver: Enshrinement to Hall of Fame (Tape 1 of 3),1977-04-23,,,2022-03-18,U-Matic VTRA001 (TBC 1),Color set to bars. No tone in beginning so audio levels set to program. Mono. Audio is very muffled and staticky due to tape. Skew goes in and out of the program. Signs of slight dropout. ,3/4 inch videotape: U-matic SP,,,Stereo,,1:02:00,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,69.0,,,6/1/2022,,Ampex,,1977-04-22,,,Baked twice at 130F degrees for 30 hours. ,,,,,,,,,Hall of Fame for Great Americans,,,rec7CFYTe0TTOu14h,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00016,Completed for Project,BCC00016,The Hall of Fame for Great Americans,G.W. Carver: Enshrinement to Hall of Fame (Tape 2 of 3),1977-04-23,,,2022-03-18,U-Matic VTRA001 (TBC 1),Color set to bars. No tone in beginning so audio levels set to program. Mono. Audio is very muffled and staticky due to tape. Skew goes in and out of the program. Signs of slight dropout. ,3/4 inch videotape: U-matic SP,,,Mono,,26:15,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,29.0,,,6/1/2022,,Ampex,,1977-04-22,,,Baked twice at 130F degrees for 30 hours. ,,,,,,,,,Hall of Fame for Great Americans,,,rec1VzmvN40qTOxGg,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00017,Completed for Project,BCC00017,The Hall of Fame for Great Americans,G.W. Carver: Enshrinement to Hall of Fame (Tape 3 of 3),1977-04-23,,,2022-03-18,U-Matic VTRA001 (TBC 1),"Color set to bars. No tone in the beginning so audio levels are set to program. Mono. The audio is very muffled and staticky due to tape. Skew goes in and out of the program. Signs of slight dropout. 

Retransferred on 3/23/22 after a 2nd baking. I lowed the chroma, my settings are Luma -1.56; Black +8.2; Chroma -2.24; Hue 0. I also set the headroom of the audio at 16 and Left gain by +2...does it sound better? 

",3/4 inch videotape: U-matic SP,,,Stereo,,21:53,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,23.0,,,6/1/2022,,Ampex,,1977-04-22,,,"Baked twice at 130F degrees for 30 hours. This is going into the oven a third time on 3/28/22 - still flagging. 30 hrs at 135 degrees. 

Baked a third time on 3/28, 30 hrs at 125 degrees. Did not make a difference!",,,,,,,,,Hall of Fame for Great Americans,,,recs0lvqDlpdnokB0,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00018,Completed for Project,BCC00018,The Hall of Fame for Great Americans,Sec. Bruckner: Hall of Fame,1957-05-19,,,2022-03-14,OTARI MX-55,No tone so levels were set in Adobe Audition.,"1/4"" Audiotape",,,Mono,7 1/2,1:01:35,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.1,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/3/2022,SPN24PA,Soundcraft,,1957-05-18,,,,,,,,,,,,Hall of Fame for Great Americans,,,receVq8YKoOep2GWq,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00019,Completed for Project,BCC00019,The Hall of Fame for Great Americans,Sousa Hall of Fame Ceremony at Kennedy Center (Reel 1 of 2),1976-08-23,,,2022-03-18,OTARI MX-55,Audio levels set to tone in beginning. Stereo. ,"1/4"" Audiotape",,,1/2 Track Stereo,7 1/2,58:25,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.0,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022

",,6/1/2022,,AGFA-GEVAERT (Made in Germany),,1976-08-22,,,This reel begins the recording tails out. ,,,,,,,,,Hall of Fame for Great Americans,,,recsOm0UMVY9CbqaI,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00020,Completed for Project,BCC00020,The Hall of Fame for Great Americans,Sousa Hall of Fame Ceremony at Kennedy Center (Reel 2 of 2),1976-08-23,,,2022-03-21,OTARI MX-55,No tone so levels were set in Adobe Audition. ,"1/4"" Audiotape",,,1/2 Track Stereo,7 1/2,55:57,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.9,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,5/31/2022,,AGFA-GEVAERT (Made in Germany),,1976-08-22,,,,,,,,,,,,Hall of Fame for Great Americans,,,rec9QKN1tDLbW4vVB,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00021,Completed for Project,BCC00021,The Hall of Fame for Great Americans,A Sousa Birthday Concert,1976-11-05,,,2022-03-21,OTARI MX-55,"Audio levels set in Adobe audition. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -27 DFBS - Kelly Haydon, 2022","1/4"" Audiotape",,,1/2 Track Stereo,3 3/4,1:01:00,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.1,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,3M Company: Scotch,,1976-11-04,,,,,,,,,,,,Hall of Fame for Great Americans,,,recNsBv6G3M9EK6s9,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00022,Completed for Project,BCC00022,The Hall of Fame for Great Americans,Albert A. Michelson: Hall of Fame (Reel 1 of 4),1973-10-21,,,2022-03-21,OTARI MX-55,Mono. Audio levels are set to program in Audition. ,"1/4"" Audiotape",,,Mono (Half Track) Original,7 1/2,41:31,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.4,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,5/31/2022,,,,1973-10-20,,,,,,,,,,,,Hall of Fame for Great Americans,,,recyZEeQUQo6oMgZt,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00023,Completed for Project,BCC00023,The Hall of Fame for Great Americans,Albert A. Michelson: Hall of Fame (Reel 2 of 4),1973-10-21,,,2022-04-04,OTARI MX-55,Mono. Audio levels set to program in Audition.,"1/4"" Audiotape",,,Mono (Half Track) Original,7 1/2,39:23,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.4,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,5/31/2022,,,,1973-10-20,,,,,,,,,,,,Hall of Fame for Great Americans,,,rec2nyhv1COkgQQRy,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00024,Completed for Project,BCC00024,The Hall of Fame for Great Americans,Albert A. Michelson: Hall of Fame (Reel 3 of 4),1973-10-21,,,2022-04-08,OTARI MX-55,Stereo. Audio levels set to program in Adobe Audition.,"1/4"" Audiotape",,,Stereo,7 1/2,48:30,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.2,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,5/31/2022,,,,1973-10-20,,,,,,,,,,,,Hall of Fame for Great Americans,,,recnD3dvNYfvzRcap,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00025,Completed for Project,BCC00025,The Hall of Fame for Great Americans,Albert A. Michelson: Hall of Fame (Reel 4 of 4),,,,2022-04-08,OTARI MX-55,Stereo. Audio levels set to program in Adobe audition.,"1/4"" Audiotape",,,Stereo,Unknown,46:31,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.1,"This was captured at a 32-bit rate. . Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,5/31/2022,,,,,,,,,,,,,,,,Hall of Fame for Great Americans,,,recYECgfUbJP43ELi,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00026,Completed for Project,BCC00026,The Hall of Fame for Great Americans,Lillian D. Wald: Hall of Fame (Tape 1 of 2),1971-09-12,,,2022-04-08,OTARI MX-55,Mono. Audio levels set to program in Adobe Audition.,"1/4"" Audiotape",,,Mono (Full Track) Protection,7 1/2,40:45,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.8,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,,,1971-09-11,,,,,,,,,,,,Hall of Fame for Great Americans,,,recixC8i6hN2pb5Eo,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00027,Completed for Project,BCC00027,The Hall of Fame for Great Americans,Lillian D. Wald: Hall of Fame (Tape 2 of 2),1971-09-12,,,2022-04-08,OTARI MX-55,Mono. Audio levels set to program in Adobe Audition.,"1/4"" Audiotape",,,Mono (Full Track) Protection,7 1/2,29:09,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.3,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,,,1971-09-11,,,,,,,,,,,,Hall of Fame for Great Americans,,,reccIYuwLE7vX4Oug,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00028,Completed for Project,BCC00028,The Hall of Fame for Great Americans,Oliver Wendell Holmes Jr: Hall of Fame (Reel 1 of 3),1970-05-10,,,2022-04-18,OTARI MX-55,Audio levels set to program.,"1/4"" Audiotape",,,Unknown,7 1/2,34:13,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.5,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,6/1/2022,,Shamrock,,1970-05-09,,,,,,,,,,,,Hall of Fame for Great Americans,,,rec5r3zLz7sR0wlce,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00029,Completed for Project,BCC00029,The Hall of Fame for Great Americans,Oliver Wendell Holmes Jr: Hall of Fame (Reel 2 of 3),1970-05-10,,,2022-04-18,OTARI MX-55,Audio levels set to program.,"1/4"" Audiotape",,,Unknown,7 1/2,35:57,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.6,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,6/1/2022,,Shamrock,,1970-05-09,,,,,,,,,,,,Hall of Fame for Great Americans,,,reczyEoOH3LjdhF1T,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00030,Completed for Project,BCC00030,The Hall of Fame for Great Americans,Oliver Wendell Holmes Jr: Hall of Fame (Reel 3 of 3),1970-05-10,,,2022-04-18,OTARI MX-55,Audio levels set to program.,"1/4"" Audiotape",,,Unknown,7 1/2,19:35,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,0.9,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,Shamrock,,1970-05-09,,,,,,,,,,,,Hall of Fame for Great Americans,,,recHXVlx5vLxOWLhO,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00031,Completed for Project,BCC00031,The Hall of Fame for Great Americans,Electors Award Dinner: Hall of Fame at NYU Club,1970-10-28,,,2022-04-22,OTARI MX-55,No bars/tone. Audio levels set to program.,"1/4"" Audiotape",,,Unknown,3 3/4,58:31,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,2.6,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,3M Company: Scotch,,1970-10-27,,,,,,,,,,,,Hall of Fame for Great Americans,,,recUHURrAvHfbjBMv,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00032,Completed for Project,BCC00032,The Hall of Fame for Great Americans,Electors Award Dinner: Hall of Fame at NYU Club,1970-10-28,,,,,Not transferred. This tape is a duplicate of BCC00031.  ,"1/4"" Audiotape",,,Unknown,3 3/4,3:00:00,"Bronx Community College, Archives and Special Collections",2,,1,,,,,,3M Company: Scotch,,1970-10-27,,,,,,,,checked,,,,Hall of Fame for Great Americans,,,recwfMdLnDuwHELZW,,,,,,,,,,,1
BCC00033,Completed for Project,BCC00033,The Hall of Fame for Great Americans,Wright Ceremonies: Hall of Fame,1967-05-07,,,2022-03-11,OTARI MX-55,"Multiple splices respliced with new tape. Audio and phase levels set to the reel using Adobe Audition, no tone in the beginning. ","1/4"" Audiotape",,,Full Track,7 1/2,13:58,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,1.0,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,6/1/2022,,,,1967-05-06,,,,,,,,,,,,Hall of Fame for Great Americans,,,reckrKPRTj7AIpWtU,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00034,Completed for Project,BCC00034,The Hall of Fame for Great Americans,Bronx Community College: Hall of Fame,,,,2022-03-11,OTARI MX-55,Audio levels and phase set to tone.,"1/4"" Audiotape",,,Stereo,7 1/2,2:27,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,0.2,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,6/1/2022,,,,,,,,,,,,,,,,Hall of Fame for Great Americans,,,rec07zuCflbKLukqb,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00035,Completed for Project,BCC00035,The Hall of Fame for Great Americans,Ralph M. Rourke: Audition Tape,,,,2022-03-14,OTARI MX-55,No tone in beginning. Levels set using phase analysis in Audition.,"1/4"" Audiotape",,,Stereo,7 1/2,13:01,"Bronx Community College, Archives and Special Collections",2,CLIR Ingest Drive,0,0.9,"This was captured at a 24-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022",,3/16/2022,No. 111 A-6,Scotch,,,,,,,,,,,,,,Medgar Evers College,,,rec8UqtInFRi0WraG,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
